,CLOSE
2016-11-08,12800.0
2016-11-09,13000.0
2016-11-10,13100.0
2016-11-11,13500.0
2016-11-14,13500.0
2016-11-15,14200.0
2016-11-16,15000.0
2016-11-17,15000.0
2016-11-18,14500.0
2016-11-21,14500.0
2016-11-22,15800.0
2016-11-23,16000.0
2016-11-24,16100.0
2016-11-25,15700.0
2016-11-28,15700.0
2016-11-29,16500.0
2016-11-30,15500.0
2016-12-01,15300.0
2016-12-02,15100.0
2016-12-05,16100.0
2016-12-06,15800.0
2016-12-07,15900.0
2016-12-08,15900.0
2016-12-09,15650.0
2016-12-12,16900.0
2016-12-13,16800.0
2016-12-14,17100.0
2016-12-15,17200.0
2016-12-16,17200.0
2016-12-19,17200.0
2016-12-20,16600.0
2016-12-21,16800.0
2016-12-22,16900.0
2016-12-23,16500.0
2016-12-26,15700.0
2016-12-27,15500.0
2016-12-28,15600.0
2016-12-29,15900.0
2016-12-30,15900.0
2017-01-03,16700.0
2017-01-04,16200.0
2017-01-05,16400.0
2017-01-06,16400.0
2017-01-09,17000.0
2017-01-10,17600.0
2017-01-11,17800.0
2017-01-12,18900.0
2017-01-13,18800.0
2017-01-16,18800.0
2017-01-17,19900.0
2017-01-18,19900.0
2017-01-19,19700.0
2017-01-20,19000.0
2017-01-23,19000.0
2017-01-24,19000.0
2017-01-25,19000.0
2017-01-26,19000.0
2017-02-03,19000.0
2017-02-06,18900.0
2017-02-07,18900.0
2017-02-08,19600.0
2017-02-09,19450.0
2017-02-10,19500.0
2017-02-13,20900.0
2017-02-14,20600.0
2017-02-15,20500.0
2017-02-16,19800.0
2017-02-17,19200.0
2017-02-20,18900.0
2017-02-21,19300.0
2017-02-22,18600.0
2017-02-23,18500.0
2017-02-24,17500.0
2017-02-27,17600.0
2017-02-28,17200.0
2017-03-01,17400.0
2017-03-02,17400.0
2017-03-03,17500.0
2017-03-06,17600.0
2017-03-07,17300.0
2017-03-08,16600.0
2017-03-09,16500.0
2017-03-10,16400.0
2017-03-13,16200.0
2017-03-14,16500.0
2017-03-15,16500.0
2017-03-16,16250.0
2017-03-17,17050.0
2017-03-20,16900.0
2017-03-21,16300.0
2017-03-22,15700.0
2017-03-23,15700.0
2017-03-24,15500.0
2017-03-27,14500.0
2017-03-28,15000.0
2017-03-29,15200.0
2017-03-30,15000.0
2017-03-31,15200.0
2017-04-05,15400.0
2017-04-06,15400.0
2017-04-07,14700.0
2017-04-10,14400.0
2017-04-11,14300.0
2017-04-12,13800.0
2017-04-13,13800.0
2017-04-14,13700.0
2017-04-17,13800.0
2017-04-18,13800.0
2017-04-19,13200.0
2017-04-20,13300.0
2017-04-21,13800.0
2017-04-24,13500.0
2017-04-25,13800.0
2017-04-26,13600.0
2017-04-27,13400.0
2017-04-28,13700.0
2017-05-02,14100.0
2017-05-03,14000.0
2017-05-04,13300.0
2017-05-05,12800.0
2017-05-08,12900.0
2017-05-09,12700.0
2017-05-10,12700.0
2017-05-11,12700.0
2017-05-12,12650.0
2017-05-15,12800.0
2017-05-16,12900.0
2017-05-17,13000.0
2017-05-18,12700.0
2017-05-19,12900.0
2017-05-22,13200.0
2017-05-23,13400.0
2017-05-24,13100.0
2017-05-25,13100.0
2017-05-26,12800.0
2017-05-31,12300.0
