datetime,open,high,low,close,volume
2009/10/26 11:30:00,19805,19850,19780,19835,182
2009/10/26 14:00:00,19790,19860,19785,19835,176
2009/10/26 14:30:00,19845,19860,19775,19800,88
2009/10/26 15:00:00,19800,19860,19770,19855,152
2009/10/27 9:30:00,19680,19760,19630,19695,538
2009/10/27 10:00:00,19665,19770,19665,19760,162
2009/10/27 10:15:00,19770,19770,19735,19760,22
2009/10/27 11:00:00,19750,19795,19710,19775,82
2009/10/27 11:30:00,19755,19930,19755,19910,956
2009/10/27 14:00:00,19890,19910,19865,19895,346
2009/10/27 14:30:00,19885,19890,19855,19870,84
2009/10/27 15:00:00,19870,19870,19750,19810,354
2009/10/28 9:30:00,19750,19975,19735,19945,886
2009/10/28 10:00:00,19940,20010,19935,19970,646
2009/10/28 10:15:00,19990,20015,19960,19980,522
2009/10/28 11:00:00,19975,20030,19975,19990,564
2009/10/28 11:30:00,19980,19980,19900,19925,192
2009/10/28 14:00:00,19880,19885,19700,19765,356
2009/10/28 14:30:00,19760,19800,19745,19800,140
2009/10/28 15:00:00,19810,19880,19810,19880,270
2009/10/29 9:30:00,19695,19820,19630,19740,524
2009/10/29 10:00:00,19745,19750,19650,19700,420
2009/10/29 10:15:00,19695,19740,19680,19690,148
2009/10/29 11:00:00,19705,19720,19670,19700,1232
2009/10/29 11:30:00,19710,19710,19475,19500,576
2009/10/29 14:00:00,19525,19545,19450,19450,370
2009/10/29 14:30:00,19450,19520,19420,19520,240
2009/10/29 15:00:00,19500,19535,19455,19500,412
2009/10/30 9:30:00,19780,19980,19780,19935,576
2009/10/30 10:00:00,19950,19965,19880,19900,182
2009/10/30 10:15:00,19900,19935,19900,19925,18
2009/10/30 11:00:00,19940,20010,19885,19995,608
2009/10/30 11:30:00,20000,20155,19980,20110,1042
2009/10/30 14:00:00,20100,20110,20050,20075,254
2009/10/30 14:30:00,20060,20065,20000,20000,280
2009/10/30 15:00:00,20005,20030,19955,19995,380
2009/11/2 9:30:00,19600,19655,19525,19610,404
2009/11/2 10:00:00,19605,19650,19605,19635,150
2009/11/2 10:15:00,19635,19640,19520,19520,196
2009/11/2 11:00:00,19525,19625,19525,19605,252
2009/11/2 11:30:00,19610,19700,19610,19670,192
2009/11/2 14:00:00,19670,19675,19650,19655,130
2009/11/2 14:30:00,19665,19700,19660,19660,290
2009/11/2 15:00:00,19665,19715,19665,19715,128
2009/11/3 9:30:00,19700,19835,19700,19805,364
2009/11/3 10:00:00,19805,19825,19780,19780,226
2009/11/3 10:15:00,19780,19800,19750,19750,134
2009/11/3 11:00:00,19800,19815,19760,19815,82
2009/11/3 11:30:00,19790,19795,19760,19780,90
2009/11/3 14:00:00,19750,19750,19680,19695,452
2009/11/3 14:30:00,19695,19720,19685,19705,130
2009/11/3 15:00:00,19690,19720,19670,19670,60
2009/11/4 9:30:00,19760,19785,19660,19690,502
2009/11/4 10:00:00,19690,19795,19690,19730,190
2009/11/4 10:15:00,19730,19740,19720,19725,154
2009/11/4 11:00:00,19740,19745,19670,19700,98
2009/11/4 11:30:00,19670,19710,19670,19710,46
2009/11/4 14:00:00,19710,19735,19700,19705,68
2009/11/4 14:30:00,19705,19735,19690,19725,80
2009/11/4 15:00:00,19715,19715,19665,19700,160
2009/11/5 9:30:00,19660,19675,19600,19620,338
2009/11/5 10:00:00,19615,19615,19550,19590,434
2009/11/5 10:15:00,19575,19665,19575,19630,42
2009/11/5 11:00:00,19630,19630,19610,19610,60
2009/11/5 11:30:00,19610,19615,19575,19585,100
2009/11/5 14:00:00,19580,19600,19530,19550,160
2009/11/5 14:30:00,19565,19580,19545,19560,52
2009/11/5 15:00:00,19560,19580,19535,19550,276
2009/11/6 9:30:00,19560,19750,19560,19715,526
2009/11/6 10:00:00,19735,19735,19700,19700,100
2009/11/6 10:15:00,19710,19725,19705,19705,24
2009/11/6 11:00:00,19705,19730,19690,19690,76
2009/11/6 11:30:00,19690,19710,19690,19710,140
2009/11/6 14:00:00,19710,19815,19705,19790,398
2009/11/6 14:30:00,19780,19800,19770,19780,158
2009/11/6 15:00:00,19770,19770,19700,19710,368
2009/11/9 9:30:00,19720,19790,19685,19725,170
2009/11/9 10:00:00,19740,19740,19700,19700,138
2009/11/9 10:15:00,19700,19720,19700,19720,74
2009/11/9 11:00:00,19735,19770,19715,19740,144
2009/11/9 11:30:00,19750,19765,19735,19745,38
2009/11/9 14:00:00,19785,19800,19765,19785,178
2009/11/9 14:30:00,19780,19825,19775,19825,158
2009/11/9 15:00:00,19825,19890,19825,19870,480
2009/11/10 9:30:00,19965,19980,19870,19965,590
2009/11/10 10:00:00,19950,19975,19925,19950,184
2009/11/10 10:15:00,19945,19965,19920,19930,46
2009/11/10 11:00:00,19925,19950,19915,19950,58
2009/11/10 11:30:00,19950,19950,19900,19930,218
2009/11/10 14:00:00,19900,19900,19750,19790,508
2009/11/10 14:30:00,19790,19830,19775,19825,122
2009/11/10 15:00:00,19825,19830,19780,19820,348
2009/11/11 9:30:00,19800,19875,19800,19855,212
2009/11/11 10:00:00,19860,19950,19860,19950,280
2009/11/11 10:15:00,19950,20010,19930,20000,424
2009/11/11 11:00:00,20000,20010,19970,19980,468
2009/11/11 11:30:00,19975,19990,19940,19940,294
2009/11/11 14:00:00,19960,19970,19910,19950,328
2009/11/11 14:30:00,19960,20000,19960,19990,180
2009/11/11 15:00:00,19985,20250,19980,20195,1658
2009/11/12 9:30:00,20325,20590,20325,20550,2312
2009/11/12 10:00:00,20545,20605,20520,20575,670
2009/11/12 10:15:00,20570,20650,20555,20570,384
2009/11/12 11:00:00,20550,20560,20460,20520,868
2009/11/12 11:30:00,20520,20610,20520,20595,440
2009/11/12 14:00:00,20560,20720,20550,20720,1272
2009/11/12 14:30:00,20715,20920,20700,20805,3624
2009/11/12 15:00:00,20810,20880,20780,20830,1840
2009/11/13 9:30:00,20665,20855,20665,20850,2954
2009/11/13 10:00:00,20840,20950,20830,20920,2660
2009/11/13 10:15:00,20930,21000,20920,20960,554
2009/11/13 11:00:00,20970,21140,20955,21000,1682
2009/11/13 11:30:00,20970,21040,20970,21010,2112
2009/11/13 14:00:00,21010,21110,20905,20950,1874
2009/11/13 14:30:00,20935,21000,20935,20950,472
2009/11/13 15:00:00,20950,21050,20940,21030,1082
2009/11/16 9:30:00,21130,21310,21130,21210,2638
2009/11/16 10:00:00,21215,21215,21105,21125,1020
2009/11/16 10:15:00,21125,21150,21020,21070,482
2009/11/16 11:00:00,21070,21130,21060,21070,578
2009/11/16 11:30:00,21075,21110,21060,21100,498
2009/11/16 14:00:00,21130,21230,21115,21150,2370
2009/11/16 14:30:00,21150,21180,21110,21125,504
2009/11/16 15:00:00,21125,21140,21035,21100,1066
2009/11/17 9:30:00,21270,21390,21180,21295,4010
2009/11/17 10:00:00,21295,21315,21220,21245,1218
2009/11/17 10:15:00,21255,21280,21165,21200,612
2009/11/17 11:00:00,21200,21240,21135,21210,590
2009/11/17 11:30:00,21210,21245,21190,21220,278
2009/11/17 14:00:00,21245,21245,21200,21230,348
2009/11/17 14:30:00,21240,21240,21150,21185,480
2009/11/17 15:00:00,21180,21195,21115,21130,620
2009/11/18 9:30:00,21250,21265,21155,21165,1000
2009/11/18 10:00:00,21165,21175,21130,21160,308
